rank,method,paper_title,venue,year,repo,lead_authors,task_alignment,reproducibility,stars,tier,recommend,caveat
1,Cell2Sentence (C2S),Cell2Sentence: Teaching Large Language Models the Language of Biology,ICML,2024,https://github.com/vandijklab/cell2sentence,Levine/Rizvi/van Dijk (Yale),Direct - cell-type annotation from expression,High (pip + HF weights + tutorials),~868,A,Yes,LLM fine-tuning is compute-heavy; use small variant (Pythia-160M/GPT-2) for fair compare. NOTE: crawl link was wrong (stanford_alpaca); corrected here.
2,CellPLM,CellPLM: Pre-training of Cell Language Model Beyond Single Cells,ICLR,2024,https://github.com/OmicsML/CellPLM,Wen/Xie/Jiliang Tang (MSU/Emory),Direct - cell-type annotation from expression,Med-High (train+infer code + 85M ckpt),~103,A,Yes,GPU-heavy; weights on Dropbox (link-rot risk); fine-tune per dataset; bulk task needs head adaptation.
3,scGeneFit,Optimal marker gene selection for cell type discrimination (scGeneFit),Nature Communications,2021,https://github.com/solevillar/scGeneFit-python,Dumitrascu/Villar/Mixon/Engelhardt (Princeton/JHU),Direct - supervised marker selection then cell-type classification,High (pip install + example data),~43,A,Yes,Most conceptually aligned to SMART's marker-selection claim. 2020 freeze; crawl wrongly linked it to a Tree-Wasserstein paper - real paper is Dumitrascu 2021.
4,scbenchmark,A Simple and Comprehensive Benchmark for Single-Cell Transcriptomics,AAAI,2025,https://github.com/simpleshinobu/scbenchmark,Qi/Huang (CAS CNIC),Adaptable - expression-classification benchmark with Transformer/GNN/CNN/linear baselines,Med (code + data via gdrive),~6,B,Yes (baseline source),Single-cell only; own CellXGene splits - re-run its baselines on SMART's data for fair numbers.
5,scRCL,Refinement Contrastive Learning of Cell-Gene Associations for Unsupervised Cell Type Identification,AAAI,2026,https://github.com/THPengL/scRCL,Peng/Wu/Hau-San Wong (SCUT/CityU),Adaptable - cell-type identification from scRNA,Med (full PyTorch code; new repo),~5,B,Yes (unsupervised ref),Unsupervised/clustering paradigm - report with clustering eval (ARI/NMI) not head-to-head accuracy.
6,sciLaMA,sciLaMA: Single-Cell Representation Learning Leveraging LLM Prior Knowledge,ICML,2025,https://github.com/microsoft/sciLaMA,Hongru Hu/Gerald Quon (UC Davis + MSR),Adaptable - embedding then linear/kNN probe for cell type,Med (code + env; no weights/data bundled),~8,B,Yes (embedding+probe),Unsupervised embedding method; only fair as embedding+linear-probe on the single-cell task, not bulk TCGA.
7,CoVEL,Comprehensive View Embedding Learning for Single-Cell Multimodal Integration,AAAI,2024,https://github.com/shapsider/scintegration,Tang/Calvin Yu-Chian Chen (SYSU),Adaptable - joint embedding then label transfer for cell type,Low-Med (notebooks; data via Baidu Pan),~5,B,Optional,Integration/embedding method; data gated behind Baidu Pan; needs post-hoc classifier.
8,scCluBench,scCluBench: Comprehensive Benchmarking of Clustering Algorithms for scRNA-seq,AAAI,2026,https://github.com/XPgogogo/scCluBench,Xu/Yuanchun Zhou (CAS CNIC),Reference - 36 datasets + 14 clustering methods,Med (unified CLI; new repo),~1,C,Yes (data/landscape),Clustering paradigm - use for datasets + landscape citation, do NOT claim beating its ARI/NMI as apples-to-apples.
9,HEIST,HEIST: A Graph Foundation Model for Spatial Transcriptomics and Proteomics,ICLR,2026,https://github.com/Graph-and-Geometric-Learning/HEIST,Madhu/Krishnaswamy/Rex Ying (Yale),Off-task for SMART inputs - does cell-type + clinical outcome but needs spatial coordinates,Med (code + HF ckpts),~8,D,Related-work only,Requires spatial coordinates; cannot run on SMART's coordinate-free vectors unless a spatial task is added.
10,CLM-Access,CLM-Access: A Specialized Foundation Model for Single-Cell ATAC-Seq,AAAI,2026,https://github.com/HIM-AIM/CLM-Access,Liu/Xiaolin Li (CAS/Macau),Off-task modality - scATAC chromatin accessibility not scRNA expression,Med (code; no weights/data),~0,D,Related-work only,Different input modality (ATAC vs RNA); cite as related single-cell foundation model, not a head-to-head baseline.
11,scGPT,scGPT: Toward Building a Foundation Model for Single-Cell Multi-omics via Generative AI,Nature Methods,2024,https://github.com/bowang-lab/scGPT,Cui/Bo Wang (U Toronto),Direct - native cell-type annotation/classification from scRNA-seq via fine-tuning,High (code + multiple ckpts incl pan-cancer + tutorials),~1600,A,Yes,GPU-heavy fine-tuning; canonical same-task foundation-model baseline SMART cites.
12,scBERT,scBERT as a Large-scale Pretrained Deep Language Model for Cell Type Annotation,Nature Machine Intelligence,2022,https://github.com/TencentAILabHealthcare/scBERT,Yang/Yao (Tencent AI Lab),Direct - purpose-built cell-type annotation from scRNA-seq,High (pretrain/finetune/predict code + weights),~357,A,Yes,Repo unmaintained since 2022; Performer backbone; weights via gdrive.
13,scFoundation,Large-scale Foundation Model on Single-cell Transcriptomics,Nature Methods,2024,https://github.com/biomap-research/scFoundation,Hao/Le Song (BioMap),Direct - cell embeddings with cell-type annotation downstream code,High (code + Figshare weights + per-task examples),~417,A,Yes,~100M params over ~20k genes; weights on Figshare; old inference API discontinued (use local).
14,Geneformer,Transfer Learning Enables Predictions in Network Biology,Nature,2023,https://huggingface.co/ctheodoris/Geneformer,Theodoris et al. (Broad/Harvard),Direct - cell-type + cell-state/disease classification via in-silico fine-tuning,High (V1/V2 weights + tokenizer + finetune notebooks),NA-HF,A,Yes,NOT A GITHUB REPO - canonical code is HuggingFace-only (github.com URL is 404); third-party GitHub mirrors exist but are unofficial.
