slug,status,source,path,bytes,title,year,doi,arxiv
10.1609_aaai.v38i10.28948,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v38i10.28948.pdf,1025867,Prot2Text: Multimodal Protein’s Function Generation with GNNs and Transformers,2024,10.1609/aaai.v38i10.28948,
10.1609_aaai.v38i2.27874,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v38i2.27874.pdf,1594455,Multi-Prototype Space Learning for Commonsense-Based Scene Graph Generation,2024,10.1609/aaai.v38i2.27874,
10.1609_aaai.v38i10.28988,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v38i10.28988.pdf,915097,HyperFast: Instant Classification for Tabular Data,2024,10.1609/aaai.v38i10.28988,
10.1609_aaai.v38i1.27770,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v38i1.27770.pdf,2018517,Improving PTM Site Prediction by Coupling of Multi-Granularity Structure and Multi-Scale Sequence Representation,2024,10.1609/aaai.v38i1.27770,
10.1609_aaai.v38i1.27789,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v38i1.27789.pdf,4731371,Unsupervised Gene-Cell Collective Representation Learning with Optimal Transport,2024,10.1609/aaai.v38i1.27789,
10.1609_aaai.v38i9.28924,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v38i9.28924.pdf,1794677,Knowledge Enhanced Representation Learning for Drug Discovery,2024,10.1609/aaai.v38i9.28924,
10.1609_aaai.v39i1.31998,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i1.31998.pdf,1343114,FoldToken: Learning Protein Language via Vector Quantization and Beyond,2025,10.1609/aaai.v39i1.31998,
10.1609_aaai.v39i21.34456,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i21.34456.pdf,344274,ProtCLIP: Function-Informed Protein Multi-Modal Learning,2025,10.1609/aaai.v39i21.34456,
10.1609_aaai.v38i1.27753,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v38i1.27753.pdf,1738487,Neural Embeddings for kNN Search in Biological Sequence,2024,10.1609/aaai.v38i1.27753,
10.1609_aaai.v39i20.35436,skip_exists,cache,/work/mech-ai-scratch/tirtho/RecusrsiveQFormer/lit_pipeline/pdfs/10.1609_aaai.v39i20.35436.pdf,16456230,Dimension Reduction with Locally Adjusted Graphs,2025,10.1609/aaai.v39i20.35436,
